Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2019,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,College Graduate,Age-adjusted Prevalence,13.3,,,12.6,13.9,4961829,,,
2018,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,College Graduate,Age-adjusted Prevalence,13,,,12.2,13.8,4676400,,,
2017,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,College Graduate,Age-adjusted Prevalence,12.1,,,11.3,13,4547709,,,
2016,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,College Graduate,Age-adjusted Prevalence,11.8,,,11.2,12.4,4222801,,,
2020,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,College Graduate,Age-adjusted Prevalence,12,,,11,13,1574747,,,
2019,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,College Graduate,Age-adjusted Prevalence,12.6,,,11.7,13.6,1609263,,,
2018,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,College Graduate,Age-adjusted Prevalence,11.9,,,11.1,12.8,1600400,,,
2017,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,College Graduate,Age-adjusted Prevalence,11.1,,,10.1,12.1,1358570,,,
2016,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,College Graduate,Age-adjusted Prevalence,11.3,,,10.4,12.2,1287583,,,
2020,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,College Graduate,Age-adjusted Prevalence,10.7,,,9.5,12,943601,,,
2019,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,College Graduate,Age-adjusted Prevalence,12.5,,,11.4,13.6,1257139,,,
2018,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,College Graduate,Age-adjusted Prevalence,10.4,,,9.5,11.5,1027190,,,
2017,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,College Graduate,Age-adjusted Prevalence,10.8,,,9.8,11.9,1145739,,,
2016,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,College Graduate,Age-adjusted Prevalence,11.5,,,10.5,12.6,1009812,,,
2020,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,College Graduate,Age-adjusted Prevalence,11.3,,,10.6,12.2,1958774,,,
2019,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,College Graduate,Age-adjusted Prevalence,11.7,,,11,12.4,2127438,,,
2018,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,College Graduate,Age-adjusted Prevalence,11.1,,,10.4,11.7,2001831,,,
2017,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,College Graduate,Age-adjusted Prevalence,10.2,,,9.6,10.9,1912898,,,
2016,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,College Graduate,Age-adjusted Prevalence,10.4,,,9.8,11,1791988,,,
2020,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,College Graduate,Age-adjusted Prevalence,34,,,33.6,34.4,61543354,,,
2019,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,College Graduate,Age-adjusted Prevalence,33.4,,,33.1,33.8,57427510,,,
2018,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,College Graduate,Age-adjusted Prevalence,32.9,,,32.6,33.3,59004198,,,
2017,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,College Graduate,Age-adjusted Prevalence,32.1,,,31.8,32.4,57173271,,,
2016,US,"United States, DC & Territories",Education level among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,College Graduate,Age-adjusted Prevalence,31.3,,,31,31.6,56147022,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,43,,,42.1,43.8,29025393,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,43.7,,,43.1,44.4,30734067,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,43.7,,,42.9,44.4,30757494,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,44.2,,,43.5,44.9,30142178,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,44.3,,,43.6,44.9,28957979,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,38,,,36.9,39.1,10076680,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,39.9,,,39,40.8,11436620,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,39.1,,,38.1,40,11201495,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,39.4,,,38.4,40.4,11067830,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,39.8,,,38.8,40.7,10588858,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,49.5,,,47.5,51.5,8545641,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,50.3,,,48.5,52.1,8608988,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,50.7,,,48.7,52.6,8715327,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,50.5,,,48.5,52.4,8109907,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,48.7,,,46.9,50.5,7384457,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,43.3,,,41.6,45,13756156,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,44.1,,,42.8,45.3,15509852,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,43.9,,,42.7,45.2,15225152,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,45.7,,,44.3,47.1,15898619,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,44.9,,,43.7,46,15414316,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,39.4,,,37.4,41.4,5218690,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,41,,,39.3,42.6,5438224,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,41.5,,,39.7,43.2,5550176,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,42.1,,,40.3,44,5244912,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,41.7,,,39.9,43.4,4976560,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,40.1,,,37.4,42.8,3264182,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,42.9,,,40.9,45,4149742,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,40.1,,,37.9,42.3,3846292,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,42.6,,,40.4,44.8,4274012,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,43.8,,,41.8,45.8,3991285,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,38.6,,,37.1,40.2,6348175,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,40.1,,,38.9,41.4,7127062,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,39.3,,,38,40.5,6986523,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,38.7,,,37.3,40,6954533,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,40.8,,,39.5,42,6838638,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,58.3,,,57.8,58.7,105563460,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,58.7,,,58.3,59.1,100736458,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,58.3,,,57.9,58.7,104420727,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,58.4,,,58,58.7,103970860,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Married / Unmarried Couple,Age-adjusted Prevalence,58.3,,,58,58.7,104768041,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Divorced / Separated,Age-adjusted Prevalence,17.7,,,17.1,18.3,12109551,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Divorced / Separated,Age-adjusted Prevalence,17.7,,,17.3,18.2,12788501,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Divorced / Separated,Age-adjusted Prevalence,18,,,17.5,18.5,13051159,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Divorced / Separated,Age-adjusted Prevalence,18.2,,,17.7,18.7,12709598,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Divorced / Separated,Age-adjusted Prevalence,18.5,,,18,19,12426235,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.5,,,18.6,20.4,5221640,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.8,,,19.1,20.4,5833462,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.8,,,19.1,20.4,5884540,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.9,,,19.3,20.7,5855805,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Divorced / Separated,Age-adjusted Prevalence,20.4,,,19.7,21.1,5659445,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Divorced / Separated,Age-adjusted Prevalence,17.4,,,16.1,18.7,2816878,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Divorced / Separated,Age-adjusted Prevalence,18.1,,,16.9,19.4,2877310,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Divorced / Separated,Age-adjusted Prevalence,18.1,,,16.9,19.4,2942507,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Divorced / Separated,Age-adjusted Prevalence,18,,,16.8,19.2,2691379,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.4,,,18.1,20.7,2652079,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Divorced / Separated,Age-adjusted Prevalence,21.8,,,20.4,23.3,6991083,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Divorced / Separated,Age-adjusted Prevalence,21.3,,,20.4,22.3,7699251,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Divorced / Separated,Age-adjusted Prevalence,21.6,,,20.6,22.6,7832920,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Divorced / Separated,Age-adjusted Prevalence,21.5,,,20.5,22.6,7840105,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Divorced / Separated,Age-adjusted Prevalence,22,,,21.1,22.9,7696748,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.1,,,17.8,20.5,2730543,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.4,,,18.2,20.7,2783405,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.5,,,18.3,20.7,2869873,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Divorced / Separated,Age-adjusted Prevalence,20.3,,,18.9,21.7,2748485,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.1,,,18,20.3,2460430,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Divorced / Separated,Age-adjusted Prevalence,23.1,,,20.9,25.5,2090055,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Divorced / Separated,Age-adjusted Prevalence,23,,,21.5,24.5,2478592,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Divorced / Separated,Age-adjusted Prevalence,24.4,,,22.1,26.9,2554697,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Divorced / Separated,Age-adjusted Prevalence,23.8,,,22.2,25.4,2669303,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Divorced / Separated,Age-adjusted Prevalence,23.6,,,22,25.2,2354498,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Divorced / Separated,Age-adjusted Prevalence,20.3,,,19,21.6,3491288,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Divorced / Separated,Age-adjusted Prevalence,19.5,,,18.6,20.3,3725458,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Divorced / Separated,Age-adjusted Prevalence,20.5,,,19.6,21.5,3869968,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Divorced / Separated,Age-adjusted Prevalence,21.1,,,20.2,22.1,4121351,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Divorced / Separated,Age-adjusted Prevalence,21.9,,,20.9,22.9,3874842,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Divorced / Separated,Age-adjusted Prevalence,10.8,,,10.6,11.1,19780159,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Divorced / Separated,Age-adjusted Prevalence,10.8,,,10.6,11,18708040,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Divorced / Separated,Age-adjusted Prevalence,10.8,,,10.6,11,19460360,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Divorced / Separated,Age-adjusted Prevalence,11,,,10.8,11.2,19795293,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Divorced / Separated,Age-adjusted Prevalence,11.1,,,10.9,11.3,20045667,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Widowed,Age-adjusted Prevalence,8,,,7.7,8.3,8541945,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Widowed,Age-adjusted Prevalence,7.7,,,7.5,8,8507762,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Widowed,Age-adjusted Prevalence,7.8,,,7.6,8,8884236,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Widowed,Age-adjusted Prevalence,8,,,7.7,8.2,8555101,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Widowed,Age-adjusted Prevalence,7.9,,,7.7,8.1,8225631,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Widowed,Age-adjusted Prevalence,8.1,,,7.5,8.6,2285433,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Widowed,Age-adjusted Prevalence,7.8,,,7.4,8.1,2346779,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Widowed,Age-adjusted Prevalence,8.3,,,7.9,8.8,2587580,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Widowed,Age-adjusted Prevalence,8.3,,,7.9,8.7,2464808,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Cognitive Disability,,,Widowed,Age-adjusted Prevalence,8.3,,,7.9,8.6,2335784,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Widowed,Age-adjusted Prevalence,9.3,,,8,10.8,2940587,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Widowed,Age-adjusted Prevalence,7.9,,,7.4,8.5,2805883,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Widowed,Age-adjusted Prevalence,7.9,,,7.3,8.6,2968325,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Widowed,Age-adjusted Prevalence,7.9,,,7.4,8.6,2716279,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Hearing Disability,,,Widowed,Age-adjusted Prevalence,8,,,7.5,8.5,2566523,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Widowed,Age-adjusted Prevalence,9.3,,,8.6,10.1,5529956,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Widowed,Age-adjusted Prevalence,8.9,,,8.4,9.4,5787072,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Widowed,Age-adjusted Prevalence,8.7,,,8.4,9.1,5978784,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Widowed,Age-adjusted Prevalence,8.9,,,8.5,9.3,5886064,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Mobility Disability,,,Widowed,Age-adjusted Prevalence,8.6,,,8.3,9,5552164,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Widowed,Age-adjusted Prevalence,9.3,,,8.3,10.4,1813027,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Widowed,Age-adjusted Prevalence,8.5,,,7.9,9.2,1677848,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Widowed,Age-adjusted Prevalence,8.9,,,8.4,9.5,1924202,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Widowed,Age-adjusted Prevalence,8.6,,,8.1,9.2,1629673,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Vision Disability,,,Widowed,Age-adjusted Prevalence,9.1,,,8.6,9.7,1627127,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Widowed,Age-adjusted Prevalence,10.6,,,8.9,12.5,1291314,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Widowed,Age-adjusted Prevalence,8.7,,,8.1,9.4,1406215,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Widowed,Age-adjusted Prevalence,8.6,,,8,9.3,1290100,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Widowed,Age-adjusted Prevalence,9.3,,,8.4,10.2,1423895,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Self-care Disability,,,Widowed,Age-adjusted Prevalence,9,,,8.3,9.6,1272065,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Widowed,Age-adjusted Prevalence,10.4,,,9.6,11.2,2644776,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Widowed,Age-adjusted Prevalence,9.3,,,8.9,9.8,2488336,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Widowed,Age-adjusted Prevalence,9.4,,,9,9.9,2568206,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Widowed,Age-adjusted Prevalence,9.7,,,9.2,10.2,2515803,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Type,Independent Living Disability,,,Widowed,Age-adjusted Prevalence,9.5,,,9.1,9.9,2434343,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Widowed,Age-adjusted Prevalence,4.4,,,4.3,4.6,8202944,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Widowed,Age-adjusted Prevalence,4.5,,,4.4,4.7,7813704,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Widowed,Age-adjusted Prevalence,4.7,,,4.6,4.8,8218026,,,
2017,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Widowed,Age-adjusted Prevalence,4.7,,,4.6,4.9,8260629,,,
2016,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,No Disability,,,Widowed,Age-adjusted Prevalence,4.7,,,4.6,4.9,8166639,,,
2020,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Never Married,Age-adjusted Prevalence,31.3,,,30.5,32.1,14202425,,,
2019,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Never Married,Age-adjusted Prevalence,30.8,,,30.1,31.4,14695769,,,
2018,US,"United States, DC & Territories",Marital status among adults 18 years of age or older,Demographics,Disability Status,Any Disability,,,Never Married,Age-adjusted Prevalence,30.5,,,29.9,31.2,14405460,,,
